,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
1,Denver Nuggets,12,8,4,66.7,3,7.5,2.3,4.9,47.5,0.4,1.6,26.3,2.4,3.1,78.4,0.8,2.1,2.8,1.6,0.8,0.5,0.3,0.3,1.5,2.1,1.3
1,Phoenix Suns,6,4,2,66.7,2.6,7.2,2,4.3,46.2,0.5,1.5,33.3,2.7,3.7,72.7,0.2,1.3,1.5,1.7,0.7,0.7,0,0.3,1.2,2.5,1.5
3,Miami Heat,11,7,4,63.6,3.5,9.1,2.5,5.6,45.2,0.5,2.4,23.1,3.5,4,86.4,0.7,2.5,3.3,0.9,0.6,0.9,0.5,0.2,2.3,2.4,1.5
4,New York Knicks,5,3,2,60,3,8.8,2.4,5,48,1,2.4,41.7,3,3.4,88.2,1.6,1.6,3.2,0.6,1.2,0,0,0.2,1.4,1.8,2.6
4,Philadelphia 76ers,5,3,2,60,4.8,10.6,3.6,7.6,47.4,1,2.6,38.5,2.4,2.8,85.7,1.6,2.8,4.4,1,0.8,1,0.4,1,2.4,2.8,0.8
6,Los Angeles Lakers,7,4,3,57.1,4.5,8.7,2.6,6.6,39.1,0.7,3.1,22.7,2.9,3.4,83.3,1,3.4,4.4,1,1.4,0.7,0.4,0.4,2,2.4,0.6
7,Atlanta Hawks,4,2,2,50,2.8,5.8,1.5,4.8,31.6,1,2,50,1.8,2,87.5,0.8,1.8,2.5,0,0.3,0.5,0.5,0,1.3,1.5,-2
7,Sacramento Kings,4,2,2,50,4.4,12.3,3.8,8.3,45.5,1.3,2.5,50,3.5,4.3,82.4,1.5,3,4.5,2,1.5,0.5,0,1,0.5,2.8,2.5
9,Boston Celtics,11,5,6,45.5,3.6,7.9,2.5,6,42.4,1,3.4,29.7,1.8,2.4,76.9,1.2,1.9,3.1,1.6,1,0.2,0.5,0.5,2.3,2,-0.2
10,Golden State Warriors,6,2,4,33.3,4.2,8.2,3,7.5,40,1.3,4.3,30.8,0.8,0.8,100,0.7,2.3,3,2,1.5,0.8,0.7,0.2,2.8,0.5,-2.5
10,LA Clippers,3,1,2,33.3,3,8.3,2,5.7,35.3,1,3.7,27.3,3.3,3.3,100,1,2.7,3.7,1.7,2,0.3,0.3,0,3,2,0.3
12,Minnesota Timberwolves,4,1,3,25,3.2,8.5,3,5.5,54.5,1.5,3,50,1,1.3,80,0.3,1.3,1.5,2,0.5,0.3,0.5,0.5,2.3,1.5,-1
13,Brooklyn Nets,1,0,1,0,5.1,5,2,8,25,0,2,0,1,2,50,1,2,3,1,2,1,0,1,3,1,-10
13,Cleveland Cavaliers,1,0,1,0,4.3,10,4,7,57.1,0,2,0,2,2,100,1,1,2,2,0,2,0,0,2,1,-2
13,Memphis Grizzlies,2,0,2,0,6.4,9.5,3.5,9,38.9,1,4,25,1.5,2,75,0.5,3.5,4,2.5,2,1,1,0.5,4,1,-7
13,Milwaukee Bucks,2,0,2,0,6.2,12,3.5,9.5,36.8,1,3,33.3,4,6.5,61.5,1,4.5,5.5,2.5,3,1,0.5,0.5,4.5,4,-9
